-64.9 0.0 0.0
-64.7 0.0 0.0
-64.5 0.0 0.0
-64.3 0.0 0.0
-64.1 0.0 0.0
-63.9 0.0 0.0
-63.7 1.0 1.447806361001045e-7
-63.5 77.0 1.1148108979708046e-5
-63.3 259.0 3.7498184749927067e-5
-63.1 459.0 6.645431196994796e-5
-62.9 979.0 0.0001417402427420023
-62.7 1593.0 0.00023063555330746644
-62.5 3010.0 0.0004357897146613145
-62.3 5123.0 0.0007417111987408354
-62.1 7705.0 0.001115534801151305
-61.9 12521.0 0.0018127983446094083
-61.7 20214.0 0.0029265957781275122
-61.5 32020.0 0.004635875967925346
-61.3 48342.0 0.006998985510351252
-61.1 68449.0 0.009910089760416052
-60.9 93179.0 0.013490514891171637
-60.7 120064.0 0.017382942292722945
-60.5 148676.0 0.021525405852819136
-60.3 180227.0 0.026093379702413533
-60.1 217245.0 0.0314528692895672
-59.9 253874.0 0.036756039209277926
-59.7 291947.0 0.04226827236751721
-59.5 327594.0 0.04742926770257763
-59.3 361081.0 0.05227753686366183
-59.1 394573.0 0.05712652992792653
-58.9 424743.0 0.061494561719066684
-58.7 456916.0 0.06615258912431535
-58.5 489841.0 0.07091949156791129
-58.3 522147.0 0.07559677479776127
-58.1 553039.0 0.08006933820816568
-57.9 582036.0 0.08426754231316042
-57.7 613222.0 0.08878267123057827
-57.5 638097.0 0.09238408955356837
-57.3 657547.0 0.0952000729257154
-57.1 668727.0 0.09681872043731457
-56.9 675386.0 0.09778281469310517
-56.7 678696.0 0.09826203859859652
-56.5 679617.0 0.09839538156444472
-56.3 681165.0 0.09861950198912768
-56.1 680264.0 0.09848905463600148
-55.9 682356.0 0.0987919357267229
-55.7 682225.0 0.09877296946339378
-55.5 682412.0 0.09880004344234451
-55.3 681135.0 0.09861515857004467
-55.1 681750.0 0.09870419866124623
-54.9 682558.0 0.09882118141521512
-54.7 681225.0 0.09862818882729368
-54.5 682019.0 0.09874314465235716
-54.3 681072.0 0.09860603738997037
-54.1 681336.0 0.0986442594779008
-53.9 681756.0 0.09870506734506283
-53.7 681836.0 0.09871664979595085
-53.5 681282.0 0.09863644132355139
-53.3 682251.0 0.09877673375993239
-53.1 682492.0 0.09881162589323252
-52.9 681886.0 0.09872388882775585
-52.7 682100.0 0.09875487188388127
-52.5 682137.0 0.09876022876741698
-52.3 681557.0 0.09867625599847892
-52.1 682174.0 0.09876558565095268
-51.9 681504.0 0.09866858262476562
-51.7 681576.0 0.09867900683056482
-51.5 681128.0 0.09861414510559198
-51.3 681729.0 0.09870115826788814
-51.1 680759.0 0.09856072105087103
-50.9 682276.0 0.0987803532758349
-50.7 680584.0 0.09853538443955352
-50.5 682373.0 0.0987943969975366
-50.3 683403.0 0.09894352105271971
-50.1 681706.0 0.09869782831325784
-49.9 682994.0 0.09888430577255476
-49.7 682119.0 0.09875762271596718
-49.5 682547.0 0.09881958882821802
-49.3 682133.0 0.09875964964487258
-49.1 680752.0 0.09855970758641833
-48.9 680522.0 0.09852640804011531
-48.7 682095.0 0.09875414798070077
-48.5 681321.0 0.0986420877683593
